,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1542371,98701000,2726,Республика Саха (Якутия),10,3210999.24,3210999.24,,Ремонт фасада,2958.6,"4264,08000",1085.3103630095316,0.0
1563361,98660000,5466,Республика Саха (Якутия),10,1900000.0,1900000.0,,Ремонт фасада,6745.8,"1546,45000",281.6567345607637,0.0
1562392,98660000,5375,Республика Саха (Якутия),10,112200.79,112200.79,,Ремонт фасада,3910.2,"0,00000",28.69438647639507,0.0
1562407,98660000,5298,Республика Саха (Якутия),10,571108.04,571108.04,,Ремонт фасада,5284.65,"3224,32000",108.06922691190525,0.0
1562408,98660000,5298,Республика Саха (Якутия),10,1980000.0,1980000.0,,Ремонт фасада,5284.65,"3224,32000",374.6700349124351,0.0
1562422,98660000,5299,Республика Саха (Якутия),10,583091.81,583091.81,,Ремонт фасада,5280.1,"3291,53000",110.4319634097839,0.0
1562423,98660000,5299,Республика Саха (Якутия),10,1950000.0,1950000.0,,Ремонт фасада,5280.1,"3291,53000",369.3111872881195,0.0
1562432,98660000,5320,Республика Саха (Якутия),10,1844104.57,1844104.57,,Ремонт фасада,4903.08,"4889,84000",376.1114585117926,0.0
1562433,98660000,5320,Республика Саха (Якутия),10,172245.22,172245.22,,Ремонт фасада,4903.08,"4889,84000",35.13000399748729,0.0
1562587,98660000,5312,Республика Саха (Якутия),10,692466.75,692466.75,,Ремонт фасада,5149.1,"6039,08000",134.48306500165077,0.0
1562613,98660000,5315,Республика Саха (Якутия),10,14499483.69,14499483.69,,Ремонт фасада,5268.8,"14537,35000",2751.951808761008,0.0
1562623,98660000,5316,Республика Саха (Якутия),10,14499483.69,14499483.69,,Ремонт фасада,5087.1,"18146,08000",2850.2454620510703,0.0
1562628,98660000,5453,Республика Саха (Якутия),10,1886794.14,1886794.14,,Ремонт фасада,3265.2,"5067,29000",577.8494854832782,0.0
1562642,98660000,5317,Республика Саха (Якутия),10,735550.02,735550.02,,Ремонт фасада,5827.1,"626,17000",126.22917403167956,0.0
1562870,98660000,5596,Республика Саха (Якутия),10,1447437.0,1447437.0,,Ремонт фасада,622.4,"3127,06000",2325.573586118252,0.0
1562895,98660000,5600,Республика Саха (Якутия),10,132100.0,132100.0,,Ремонт фасада,1511.1,"0,00000",87.419760439415,0.0
1562919,98660000,5622,Республика Саха (Якутия),10,4159961.03,4159961.03,,Ремонт фасада,1550.6,"1262,43000",2682.8073197471945,0.0
1562924,98660000,5623,Республика Саха (Якутия),10,9160861.69,9160861.69,,Ремонт фасада,3459.2,"6232,04000",2648.2602017807585,0.0
1562950,98660000,5616,Республика Саха (Якутия),10,1693117.2,1693117.2,,Ремонт фасада,626.2,"3083,71000",2703.7962312360264,0.0
1563003,98660000,5627,Республика Саха (Якутия),10,871756.6,871756.6,,Ремонт фасада,303.4,"1749,59000",2873.291364535267,0.0
1563022,98660000,5635,Республика Саха (Якутия),10,866122.3,866122.3,,Ремонт фасада,302.3,"1738,07000",2865.1085014885875,0.0
1563030,98660000,5636,Республика Саха (Якутия),10,1947400.84,1947400.84,,Ремонт фасада,920.9,"1400,00000",2114.6713432511674,0.0
1563056,98660000,5643,Республика Саха (Якутия),10,3374901.0,3374901.0,,Ремонт фасада,1124.57,"2569,89000",3001.0590714673167,0.0
1563273,98660000,5459,Республика Саха (Якутия),10,98902.84,98902.84,,Ремонт фасада,4500.0,"4544,32000",21.97840888888889,0.0
1563286,98660000,5339,Республика Саха (Якутия),10,10399538.75,10399538.75,,Ремонт фасада,3383.7,"10399,54000",3073.422215326418,0.0
1563291,98660000,5460,Республика Саха (Якутия),10,438959.36,438959.36,,Ремонт фасада,4432.1,"4936,37000",99.04094221700772,0.0
1563310,98660000,5422,Республика Саха (Якутия),10,8990000.0,8990000.0,,Ремонт фасада,6034.1,"3745,27000",1489.8659286389022,0.0
1562070,98660000,5285,Республика Саха (Якутия),10,484713.74,484713.74,,Ремонт фасада,5725.0,"487,58000",84.66615545851528,0.0
1561550,98660000,5548,Республика Саха (Якутия),10,1117667.83,1117667.83,,Ремонт фасада,625.1,"2656,54000",1787.9824508078707,0.0
1561429,98660000,5532,Республика Саха (Якутия),10,2251149.21,2251149.21,,Ремонт фасада,1004.1,"6755,86000",2241.9571855392887,0.0
1556410,98631000,4760,Республика Саха (Якутия),10,1463507.51,1463507.51,,Ремонт фасада,511.1,"4942,57000",2863.4465075327726,0.0
1542428,98701000,2735,Республика Саха (Якутия),10,1011941.02,1011941.02,,Ремонт фасада,374.8,"574,90000",2699.9493596584844,0.0
1555386,98612000,851,Республика Саха (Якутия),10,213319.54,213319.54,,Ремонт фасада,2784.1,"736,58000",76.62064581013614,0.0
1555436,98612000,860,Республика Саха (Якутия),10,115062.28,115062.28,,Ремонт фасада,1606.9,"239,43000",71.60512788599165,0.0
1556104,98631000,4392,Республика Саха (Якутия),10,1103414.28,1103414.28,,Ремонт фасада,760.6,"4556,06000",1450.715592952932,0.0
1556193,98631000,4408,Республика Саха (Якутия),10,2880572.2,2880572.2,,Ремонт фасада,4167.3,"5622,47000",691.2322606963742,0.0
1556227,98631000,4411,Республика Саха (Якутия),10,11479807.83,11479807.83,,Ремонт фасада,3753.6,"3837,05000",3058.3460757672633,0.0
1556245,98631000,4413,Республика Саха (Якутия),10,11115079.38,11115079.38,,Ремонт фасада,4061.7,"3233,48000",2736.5584311987595,0.0
1556270,98631000,4415,Республика Саха (Якутия),10,1485162.06,1485162.06,,Ремонт фасада,543.0,"632,16000",2735.1050828729285,0.0
1556285,98631000,4416,Республика Саха (Якутия),10,1095444.62,1095444.62,,Ремонт фасада,433.7,"2456,49000",2525.8118976250867,0.0
1556348,98631000,4426,Республика Саха (Якутия),10,180013.55,180013.55,,Ремонт фасада,550.2,"117,23000",327.17838967648123,0.0
1556379,98631000,4430,Республика Саха (Якутия),10,1525394.38,1525394.38,,Ремонт фасада,539.4,"4982,08000",2827.9465702632556,0.0
1556512,98631000,4439,Республика Саха (Якутия),10,1779515.54,1779515.54,,Ремонт фасада,524.8,"2649,59000",3390.845160060976,0.0
1561428,98660000,5532,Республика Саха (Якутия),10,25779.45,25779.45,,Ремонт фасада,1004.1,"6755,86000",25.674185838063938,0.0
1556515,98631000,4439,Республика Саха (Якутия),10,1224441.0,1224441.0,,Ремонт фасада,524.8,"2649,59000",2333.157393292683,0.0
1556750,98631000,4467,Республика Саха (Якутия),10,129801.9,129801.9,,Ремонт фасада,491.8,"831,11000",263.932289548597,0.0
1556779,98631000,4470,Республика Саха (Якутия),10,1567982.43,1567982.43,,Ремонт фасада,590.0,"2471,29000",2657.5973389830506,0.0
1557702,98631000,4593,Республика Саха (Якутия),10,614053.88,614053.88,,Ремонт фасада,1409.7,"3914,37000",435.591884798184,0.0
1557706,98631000,4594,Республика Саха (Якутия),10,1034405.63,1034405.63,,Ремонт фасада,1774.4,"3574,90000",582.960792380523,0.0
1558488,98631000,4779,Республика Саха (Якутия),10,7045901.4,7045901.4,,Ремонт фасада,2241.3,"2309,77000",3143.6672466871905,0.0
1558515,98631000,4696,Республика Саха (Якутия),10,4247449.37,4247449.37,,Ремонт фасада,1391.1,"1335,90000",3053.3026885198765,0.0
1558677,98631000,4797,Республика Саха (Якутия),10,500137.14,500137.14,,Ремонт фасада,5523.8,"7721,65000",90.54222455555959,0.0
1558853,98631000,4789,Республика Саха (Якутия),10,9602741.34,9602741.34,,Ремонт фасада,2224.9,"4599,20000",4316.032783495887,0.0
1558904,98631000,4673,Республика Саха (Якутия),10,728785.44,728785.44,,Ремонт фасада,264.7,"2867,86000",2753.2506233471854,0.0
1561390,98660000,5529,Республика Саха (Якутия),10,896257.98,896257.98,,Ремонт фасада,6760.9,"17746,66000",132.56489224807348,0.0
1563360,98660000,5466,Республика Саха (Якутия),10,340366.26,340366.26,,Ремонт фасада,6745.8,"1546,45000",50.45602597171573,0.0
1563444,98660000,5471,Республика Саха (Якутия),10,996401.0,996401.0,,Ремонт фасада,4389.3,"4232,24000",227.00681202013988,0.0
1555352,98612000,846,Республика Саха (Якутия),10,123719.41,123719.41,,Ремонт фасада,536.0,"86,47000",230.8197947761194,0.0
1563456,98660000,5472,Республика Саха (Якутия),10,295956.68,295956.68,,Ремонт фасада,4462.5,"4873,53000",66.32082464985994,0.0
1568300,98603000,621,Республика Саха (Якутия),10,1327467.17,1327467.17,,Ремонт фасада,548.9,"1570,70000",2418.413499726726,0.0
1568322,98603000,626,Республика Саха (Якутия),10,1326452.21,1326452.21,,Ремонт фасада,548.6,"1408,61000",2417.885909588042,0.0
1568349,98603000,629,Республика Саха (Якутия),10,1338829.5,1338829.5,,Ремонт фасада,604.95,"873,31000",2213.124225142574,0.0
1568364,98603000,630,Республика Саха (Якутия),10,1319982.12,1319982.12,,Ремонт фасада,552.8,"2116,21000",2387.811360347323,0.0
1568385,98603000,634,Республика Саха (Якутия),10,1327444.94,1327444.94,,Ремонт фасада,547.8,"1959,38000",2423.2291712303763,0.0
1568399,98603000,636,Республика Саха (Якутия),10,1327444.94,1327444.94,,Ремонт фасада,548.8,"1964,62000",2418.813666180758,0.0
1568408,98603000,637,Республика Саха (Якутия),10,1327884.5,1327884.5,,Ремонт фасада,550.8,"2183,33000",2410.8287944807553,0.0
1568415,98603000,638,Республика Саха (Якутия),10,1327456.91,1327456.91,,Ремонт фасада,555.0,"2475,66000",2391.814252252252,0.0
1568432,98603000,639,Республика Саха (Якутия),10,1326659.88,1326659.88,,Ремонт фасада,548.8,"2323,99000",2417.383163265306,0.0
1568476,98603000,558,Республика Саха (Якутия),10,550672.75,550672.75,,Ремонт фасада,599.2,"1867,33000",919.0132676902537,0.0
1568477,98603000,558,Республика Саха (Якутия),10,570121.78,570121.78,,Ремонт фасада,599.2,"1867,33000",951.4715954606141,0.0
1568724,98610000,793,Республика Саха (Якутия),10,2789160.38,2789160.38,,Ремонт фасада,580.4,"5522,59000",4805.583011716058,0.0
1568976,98614000,930,Республика Саха (Якутия),10,1560689.08,1560689.08,,Ремонт фасада,571.6,"3332,46000",2730.38677396781,0.0
1569204,98615000,1038,Республика Саха (Якутия),10,6987202.4,6987202.4,,Ремонт фасада,1110.6,"9111,54000",6291.3761930488035,0.0
1569254,98615000,1047,Республика Саха (Якутия),10,2275968.31,2275968.31,,Ремонт фасада,604.0,"4819,20000",3768.159453642384,0.0
1570635,98627000,3878,Республика Саха (Якутия),10,3829132.72,3829132.72,,Ремонт фасада,977.7,"3829,13000",3916.4700010228084,0.0
1570699,98627000,3884,Республика Саха (Якутия),10,5051258.65,5051258.65,,Ремонт фасада,1399.0,"5051,26000",3610.62090779128,0.0
1572471,98629000,4291,Республика Саха (Якутия),10,47780.83,47780.83,,Ремонт фасада,386.1,"1364,09000",123.75247345247345,0.0
1572516,98629000,4293,Республика Саха (Якутия),10,1867698.29,1867698.29,25.12.2015,Ремонт фасада,898.6,"4298,43000",2078.4534720676606,0.0
1573036,98635000,5227,Республика Саха (Якутия),10,1125153.07,1125153.07,,Ремонт фасада,574.1,"2840,15000",1959.8555478139697,0.0
1573932,98626000,5816,Республика Саха (Якутия),10,1619121.47,1619121.47,,Ремонт фасада,558.14,"1174,49000",2900.923549647042,0.0
1575779,98654000,6656,Республика Саха (Якутия),10,1492310.43,1492310.43,,Ремонт фасада,524.9,"3887,84000",2843.0375881120212,0.0
1576022,98654000,6737,Республика Саха (Якутия),10,962826.5,962826.5,,Ремонт фасада,404.7,"1228,14000",2379.111687669879,0.0
1576512,98644000,6928,Республика Саха (Якутия),10,2666338.04,2666338.04,,Ремонт фасада,870.6,"129,86000",3062.644199402711,0.0
1576719,98644000,6974,Республика Саха (Якутия),10,129228.87,129228.87,,Ремонт фасада,4061.6,"8698,65000",31.817232125270827,0.0
1568287,98603000,620,Республика Саха (Якутия),10,1327707.74,1327707.74,,Ремонт фасада,555.6,"993,13000",2389.6827573794094,0.0
1568281,98603000,619,Республика Саха (Якутия),10,1320994.99,1320994.99,,Ремонт фасада,555.7,"1679,76000",2377.172917041569,0.0
1567863,98603000,564,Республика Саха (Якутия),10,1658167.25,1658167.25,,Ремонт фасада,672.54,"1368,05000",2465.5295595800994,0.0
1564176,98660000,5415,Республика Саха (Якутия),10,1669548.37,1669548.37,,Ремонт фасада,2891.6,"3598,16000",577.3787418730116,0.0
1563467,98660000,5473,Республика Саха (Якутия),10,235358.88,235358.88,,Ремонт фасада,4420.2,"4887,68000",53.24620605402471,0.0
