,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6320403,25714000,59,Иркутская область,62,393298.89,391332.39,30.09.2017,Благоустройство,436.8,"3051,88649",895.9074862637362,-0.500001411140516
6320543,25714000,126,Иркутская область,62,263197.76,260565.78,31.10.2017,Благоустройство,510.2,"2805,91355",510.713014504116,-1.0000009118618647
6328329,25745000,8597,Иркутская область,72,398939.35,390960.56,,Благоустройство,1427.49,"0,00000",273.8797189472431,-2.000000751994002
6322966,25714000,793,Иркутская область,62,367036.09,365200.9,30.09.2017,Благоустройство,1755.7,"6251,40698",208.00871447285982,-0.5000026019239656
6328334,25745000,8600,Иркутская область,72,399547.0,391556.06,,Благоустройство,1941.6,"0,00000",201.66669756901524,-2.0000000000000018
6322672,25714000,866,Иркутская область,62,355149.65,353373.9,30.09.2017,Благоустройство,2720.3,"11635,80026",129.90254751314194,-0.5000004927500301
6322749,25714000,1507,Иркутская область,62,389953.66,389953.66,30.09.2017,Благоустройство,3246.92,"1826,30540",120.09955896665146,0.0
6323455,25714000,1467,Иркутская область,62,211348.02,210291.28,30.09.2017,Благоустройство,2078.3,"7768,04649",101.18427560987344,-0.499999952684671
6319520,25714000,516,Иркутская область,62,356362.53,352798.9,30.09.2017,Благоустройство,5538.0,"9326,41198",63.7051101480679,-1.0000013188816492
6321886,25714000,872,Иркутская область,62,172449.58,171587.33,30.09.2017,Благоустройство,3169.68,"12474,50645",54.13395989500517,-0.5000012177472368
6321482,25714000,748,Иркутская область,62,393361.53,393361.53,30.09.2017,Благоустройство,15977.0,"10612,80801",24.620487575890344,0.0
