,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1926643,71920000,2041760688,Ямало-Ненецкий автономный округ,1,1384216.0,1312687.0,,Электроснабжение,616.9,"64,41047",2127.8764791700437,-5.16747386246077
1907397,71952000,5200000217,Ямало-Ненецкий автономный округ,1,962310.0,962309.38,,Электроснабжение,809.1,"2429,60808",1189.35778024966,-6.442830272623823e-05
1919971,71951000,5100060219,Ямало-Ненецкий автономный округ,1,724735.0,724735.0,31.07.2018,Электроснабжение,661.4,"2428,12630",1095.7589960689447,0.0
1908583,71953000,530005095,Ямало-Ненецкий автономный округ,1,1110539.0,1004874.81,30.10.2017,Электроснабжение,954.6,"7201,41611",1052.665839094909,-9.51467620677886
1926300,71920000,2040980401,Ямало-Ненецкий автономный округ,1,3100096.0,2842564.52,10.12.2018,Электроснабжение,2909.3,"6012,79247",977.0613274670883,-8.307209841243623
1923486,71916000,1615650066,Ямало-Ненецкий автономный округ,1,4891897.0,4621575.96,06.12.2018,Электроснабжение,4882.1,"13946,96148",946.6368898629687,-5.525893942574833
1927917,71928000,2841760023,Ямало-Ненецкий автономный округ,1,296655.0,318500.0,06.10.2016,Электроснабжение,348.7,"2394,64200",913.392601089762,7.363772732635554
1919279,71958000,5800082399,Ямало-Ненецкий автономный округ,1,935894.0,809547.62,,Электроснабжение,925.0,"4613,02416",875.1866162162162,-13.500073726298067
1919558,71951000,5100060038,Ямало-Ненецкий автономный округ,1,1256600.0,1214852.97,20.08.2018,Электроснабжение,1392.9,"4271,52149",872.1752961447339,-3.3222210727359536
1926537,71920000,2041760673,Ямало-Ненецкий автономный округ,1,2324174.0,1824470.13,,Электроснабжение,2143.6,"542,65038",851.1243375629781,-21.5002779482087
1917441,71958000,5800080615,Ямало-Ненецкий автономный округ,1,2078897.0,2068502.31,,Электроснабжение,2461.8,"4706,83274",840.2397879600292,-0.5000098609984072
1919928,71951000,5100060228,Ямало-Ненецкий автономный округ,1,2699083.0,2532801.65,28.09.2017,Электроснабжение,3113.5,"16115,23459",813.490171832343,-6.160660861485178
1907943,71952000,5200000314,Ямало-Ненецкий автономный округ,1,2917547.0,2917546.06,,Электроснабжение,3605.9,"1615,70751",809.1034304889209,-3.221884685711274e-05
1919166,71958000,5800082321,Ямало-Ненецкий автономный округ,1,2630444.0,2617290.98,,Электроснабжение,3237.0,"6391,52321",808.5545196169293,-0.50003041311657
1917023,71958000,5800080377,Ямало-Ненецкий автономный округ,1,4605982.0,4605981.6,,Электроснабжение,5745.2,"9649,35384",801.7095314349369,-8.684358743238363e-06
1926634,71920000,2041760687,Ямало-Ненецкий автономный округ,1,623291.0,507141.74,05.12.2017,Электроснабжение,633.2,"545,14174",800.9187302590018,-18.634836697465552
1926597,71920000,2041760677,Ямало-Ненецкий автономный округ,1,2250062.0,1788795.11,,Электроснабжение,2259.0,"527,47830",791.8526383355468,-20.500185772658707
1917035,71958000,5800080379,Ямало-Ненецкий автономный округ,1,3871256.0,3871255.2,,Электроснабжение,4907.2,"8592,80824",788.8928920769482,-2.0665127797858673e-05
1917595,71958000,5800080680,Ямало-Ненецкий автономный округ,1,2593364.0,2567429.57,,Электроснабжение,3302.4,"5930,74466",777.443547117248,-1.0000304623647205
1926230,71920000,2040980394,Ямало-Ненецкий автономный округ,1,3407392.0,3365467.2,10.12.2018,Электроснабжение,4349.4,"13507,68832",773.7773485998069,-1.2304073027112783
1921402,71916000,1615190194,Ямало-Ненецкий автономный округ,1,5529179.0,5529178.8,,Электроснабжение,7159.4,"5452,78470",772.2963935525323,-3.6171735495749147e-06
1917131,71958000,5800080390,Ямало-Ненецкий автономный округ,1,3753249.0,3753248.4,,Электроснабжение,4942.0,"8777,83780",759.4594091460947,-1.598614960407474e-05
1919822,71951000,5100060094,Ямало-Ненецкий автономный округ,1,3071223.0,2334128.87,,Электроснабжение,3074.7,"2898,71879",759.1403616613004,-24.000019861794463
1917432,71958000,5800080614,Ямало-Ненецкий автономный округ,1,1106575.0,1101041.63,07.11.2018,Электроснабжение,1480.7,"6228,94386",743.5953467954345,-0.5000447326209301
1921268,71916000,1615190071,Ямало-Ненецкий автономный округ,1,2599748.0,2586748.46,,Электроснабжение,3541.6,"1178,69584",730.3897842782923,-0.5000307722133113
1926660,71920000,2041760686,Ямало-Ненецкий автономный округ,1,991743.0,410297.8,05.12.2017,Электроснабжение,571.9,"447,29780",717.4292708515475,-58.6286164863276
1908421,71952000,5200000188,Ямало-Ненецкий автономный округ,1,2505127.0,2487033.94,06.12.2017,Электроснабжение,3515.6,"5476,41555",707.4280179770167,-0.7222412276902568
1919919,71951000,5100060224,Ямало-Ненецкий автономный округ,1,2434993.0,2326260.56,29.09.2017,Электроснабжение,3472.9,"6718,96506",669.8322900169887,-4.465410783521762
1919891,71951000,5100060096,Ямало-Ненецкий автономный округ,1,1680027.0,1862490.27,28.09.2018,Электроснабжение,2862.9,"13298,09124",650.5607146599601,10.860734381054593
1919804,71951000,5100060346,Ямало-Ненецкий автономный округ,1,290276.0,290275.06,20.08.2018,Электроснабжение,457.9,"2326,25784",633.9267525660625,-0.0003238297344609897
1918797,71958000,5800081768,Ямало-Ненецкий автономный округ,1,3804339.0,3766295.01,,Электроснабжение,6065.4,"20517,28662",620.947507171827,-1.000015771465168
1909008,71953000,530005073,Ямало-Ненецкий автономный округ,1,803303.0,477584.85,30.10.2017,Электроснабжение,775.2,"5765,35743",616.079527863777,-40.547358842180344
1927050,71923000,2340120070,Ямало-Ненецкий автономный округ,1,189120.0,189121.0,01.09.2016,Электроснабжение,308.5,"3231,43484",613.0340356564019,0.0005287648054075333
1926360,71920000,2040820770,Ямало-Ненецкий автономный округ,1,1041375.0,859134.23,,Электроснабжение,1432.4,"2649,16119",599.7865330913153,-17.500013923898695
1917082,71958000,5800080385,Ямало-Ненецкий автономный округ,1,891221.0,986644.28,28.11.2018,Электроснабжение,1647.7,"6622,00366",598.8009224980276,10.707027774255762
1917077,71958000,5800080384,Ямало-Ненецкий автономный округ,1,890570.0,974465.42,11.12.2018,Электроснабжение,1651.6,"6362,49215",590.0129692419473,9.420418383731777
1917097,71958000,5800080386,Ямало-Ненецкий автономный округ,1,954977.0,976038.72,11.12.2018,Электроснабжение,1671.5,"6258,15642",583.9298354771164,2.205468822809342
1917424,71958000,5800080613,Ямало-Ненецкий автономный округ,1,1442044.0,1434833.56,20.11.2018,Электроснабжение,2460.5,"6450,07902",583.1471489534648,-0.5000152561225546
1909079,71953000,530005088,Ямало-Ненецкий автономный округ,1,3806763.0,3763030.79,,Электроснабжение,6504.15,"5842,32744",578.5584265430533,-1.1488030644408398
1917457,71958000,5800080612,Ямало-Ненецкий автономный округ,1,1900741.0,1881733.05,07.11.2018,Электроснабжение,3293.5,"8665,31394",571.3475178381661,-1.000028409972742
1926624,71920000,2041760723,Ямало-Ненецкий автономный округ,1,790948.0,710882.1,10.09.2018,Электроснабжение,1249.5,"780,25855",568.9332533013205,-10.122776718570625
1907906,71952000,5200000310,Ямало-Ненецкий автономный округ,1,1604798.0,1604797.39,,Электроснабжение,2825.3,"1683,27354",568.0095529678264,-3.8011014480421323e-05
1925897,71920000,2040800727,Ямало-Ненецкий автономный округ,1,550309.0,550308.2,10.12.2018,Электроснабжение,973.5,"4078,14855",565.2883410374935,-0.000145372872339955
1925670,71920000,2010520323,Ямало-Ненецкий автономный округ,1,1081693.0,1000459.1,19.10.2018,Электроснабжение,1773.5,"1084,55113",564.1156470256554,-7.509884967361346
1917186,71958000,5800080375,Ямало-Ненецкий автономный округ,1,2721246.0,2721245.02,30.10.2017,Электроснабжение,4876.9,"13537,71022",557.9866349525314,-3.60129146725896e-05
1917580,71958000,5800080678,Ямало-Ненецкий автономный округ,1,2645832.0,2608950.24,07.12.2017,Электроснабжение,4761.5,"17565,64722",547.9261241205503,-1.3939569859310663
