,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2564907,83701000,83702113,Кабардино-Балкарская Республика,12,155346.0,0.0,,Инженерные системы,883.1,"0,00000",0.0,1.0
2571145,83635000,83635146,Кабардино-Балкарская Республика,12,90849.0,0.0,,Инженерные системы,1007.1,"0,00000",0.0,1.0
2571144,83635000,83635145,Кабардино-Балкарская Республика,12,90816.0,0.0,,Инженерные системы,1015.1,"0,00000",0.0,1.0
2571143,83635000,83635145,Кабардино-Балкарская Республика,31,124496.0,0.0,,Инженерные системы,1015.1,"0,00000",0.0,1.0
2570899,83625000,83625113,Кабардино-Балкарская Республика,12,100000.0,0.0,,Инженерные системы,528.8,"0,00000",0.0,1.0
2570708,83625000,83625124,Кабардино-Балкарская Республика,12,100000.0,0.0,,Инженерные системы,279.2,"0,00000",0.0,1.0
2570707,83625000,83625124,Кабардино-Балкарская Республика,31,50000.0,0.0,,Инженерные системы,279.2,"0,00000",0.0,1.0
2570703,83625000,83625123,Кабардино-Балкарская Республика,12,100000.0,0.0,,Инженерные системы,261.7,"0,00000",0.0,1.0
2571147,83635000,83635146,Кабардино-Балкарская Республика,31,124496.0,0.0,,Инженерные системы,1007.1,"0,00000",0.0,1.0
2570702,83625000,83625123,Кабардино-Балкарская Республика,31,50000.0,0.0,,Инженерные системы,261.7,"0,00000",0.0,1.0
2570699,83625000,83625122,Кабардино-Балкарская Республика,31,50000.0,0.0,,Инженерные системы,260.2,"0,00000",0.0,1.0
2570696,83625000,83625611,Кабардино-Балкарская Республика,12,100000.0,0.0,,Инженерные системы,267.6,"0,00000",0.0,1.0
2570693,83625000,83625611,Кабардино-Балкарская Республика,31,50000.0,0.0,,Инженерные системы,267.6,"0,00000",0.0,1.0
2570653,83620000,83620131,Кабардино-Балкарская Республика,12,82000.0,0.0,,Инженерные системы,271.5,"0,00000",0.0,1.0
2570635,83620000,83620130,Кабардино-Балкарская Республика,12,82000.0,0.0,,Инженерные системы,261.9,"0,00000",0.0,1.0
2570627,83620000,83620137,Кабардино-Балкарская Республика,12,82000.0,0.0,,Инженерные системы,278.2,"0,00000",0.0,1.0
2569515,83710000,83710098,Кабардино-Балкарская Республика,12,3058174.61,0.0,,Инженерные системы,3439.3,"0,00000",0.0,1.0
2570700,83625000,83625122,Кабардино-Балкарская Республика,12,100000.0,0.0,,Инженерные системы,260.2,"0,00000",0.0,1.0
2569512,83710000,83710098,Кабардино-Балкарская Республика,31,158000.0,0.0,,Инженерные системы,3439.3,"0,00000",0.0,1.0
2571150,83635000,83635156,Кабардино-Балкарская Республика,31,124496.0,0.0,,Инженерные системы,898.4,"0,00000",0.0,1.0
2571155,83635000,83635157,Кабардино-Балкарская Республика,31,124496.0,0.0,,Инженерные системы,940.9,"0,00000",0.0,1.0
2571350,83635000,83635193,Кабардино-Балкарская Республика,12,68988.0,0.0,,Инженерные системы,205.1,"0,00000",0.0,1.0
2571332,83635000,83635216,Кабардино-Балкарская Республика,12,116788.0,0.0,,Инженерные системы,669.6,"0,00000",0.0,1.0
2571329,83635000,83635216,Кабардино-Балкарская Республика,31,124496.0,0.0,,Инженерные системы,669.6,"0,00000",0.0,1.0
2571312,83635000,83635120,Кабардино-Балкарская Республика,31,124496.0,0.0,,Инженерные системы,644.7,"0,00000",0.0,1.0
2571310,83635000,83635120,Кабардино-Балкарская Республика,12,102223.0,0.0,,Инженерные системы,644.7,"0,00000",0.0,1.0
2571228,83635000,83635133,Кабардино-Балкарская Республика,31,124496.0,0.0,,Инженерные системы,223.6,"0,00000",0.0,1.0
2571227,83635000,83635133,Кабардино-Балкарская Республика,12,38012.7,0.0,,Инженерные системы,223.6,"0,00000",0.0,1.0
2571151,83635000,83635156,Кабардино-Балкарская Республика,12,96337.5,0.0,,Инженерные системы,898.4,"0,00000",0.0,1.0
2571224,83635000,83635132,Кабардино-Балкарская Республика,12,34578.4,0.0,,Инженерные системы,203.4,"0,00000",0.0,1.0
2571214,83635000,83635110,Кабардино-Балкарская Республика,12,33134.5,0.0,,Инженерные системы,194.9,"0,00000",0.0,1.0
2571213,83635000,83635110,Кабардино-Балкарская Республика,31,124496.0,0.0,,Инженерные системы,194.9,"0,00000",0.0,1.0
2571195,83635000,83635135,Кабардино-Балкарская Республика,31,124496.0,0.0,,Инженерные системы,275.2,"0,00000",0.0,1.0
2571193,83635000,83635135,Кабардино-Балкарская Республика,12,42785.6,0.0,,Инженерные системы,275.2,"0,00000",0.0,1.0
2571191,83635000,83635134,Кабардино-Балкарская Республика,12,42568.3,0.0,,Инженерные системы,275.9,"0,00000",0.0,1.0
2571190,83635000,83635134,Кабардино-Балкарская Республика,31,124496.0,0.0,,Инженерные системы,275.9,"0,00000",0.0,1.0
2571156,83635000,83635157,Кабардино-Балкарская Республика,12,96390.0,0.0,,Инженерные системы,940.9,"0,00000",0.0,1.0
2571221,83635000,83635132,Кабардино-Балкарская Республика,31,124496.0,0.0,,Инженерные системы,203.4,"0,00000",0.0,1.0
2572676,83630000,8363030,Кабардино-Балкарская Республика,31,307510.75,0.0,,Инженерные системы,3699.6,"0,00000",0.0,1.0
2569264,83710000,83710263,Кабардино-Балкарская Республика,31,5000.0,0.0,,Инженерные системы,440.4,"0,00000",0.0,1.0
2568982,83710000,83710225,Кабардино-Балкарская Республика,12,25590.75,0.0,,Инженерные системы,173.9,"0,00000",0.0,1.0
2566976,83701000,83701681,Кабардино-Балкарская Республика,31,35035.0,0.0,,Инженерные системы,4221.5,"0,00000",0.0,1.0
2566816,83701000,83702385,Кабардино-Балкарская Республика,31,33572.0,0.0,,Инженерные системы,942.4,"0,00000",0.0,1.0
2566815,83701000,83702385,Кабардино-Балкарская Республика,12,71086.4,0.0,,Инженерные системы,942.4,"0,00000",0.0,1.0
2566793,83701000,83702466,Кабардино-Балкарская Республика,12,231409.61,0.0,,Инженерные системы,1264.7,"0,00000",0.0,1.0
2566789,83701000,83702466,Кабардино-Балкарская Республика,31,109344.0,0.0,,Инженерные системы,1264.7,"0,00000",0.0,1.0
2566768,83701000,83701669,Кабардино-Балкарская Республика,31,715421.0,0.0,,Инженерные системы,3432.1,"0,00000",0.0,1.0
2566767,83701000,83701669,Кабардино-Балкарская Республика,12,3210935.48,0.0,,Инженерные системы,3432.1,"0,00000",0.0,1.0
2566977,83701000,83701681,Кабардино-Балкарская Республика,12,74146.07,0.0,,Инженерные системы,4221.5,"0,00000",0.0,1.0
2566707,83701000,83701299,Кабардино-Балкарская Республика,12,68657.6,0.0,,Инженерные системы,390.1,"0,00000",0.0,1.0
2566409,83701000,83702370,Кабардино-Балкарская Республика,31,58300.0,0.0,,Инженерные системы,3791.44,"0,00000",0.0,1.0
2566408,83701000,83702370,Кабардино-Балкарская Республика,12,123383.27,0.0,,Инженерные системы,3791.44,"0,00000",0.0,1.0
2566287,83701000,83701673,Кабардино-Балкарская Республика,31,41642.0,0.0,,Инженерные системы,2194.7,"0,00000",0.0,1.0
2566286,83701000,83701673,Кабардино-Балкарская Республика,12,169307.23,0.0,,Инженерные системы,2194.7,"0,00000",0.0,1.0
2564988,83701000,83702345,Кабардино-Балкарская Республика,31,33572.0,0.0,,Инженерные системы,942.4,"0,00000",0.0,1.0
2564987,83701000,83702345,Кабардино-Балкарская Республика,12,71086.4,0.0,,Инженерные системы,942.4,"0,00000",0.0,1.0
2564908,83701000,83702113,Кабардино-Балкарская Республика,31,73403.0,0.0,,Инженерные системы,883.1,"0,00000",0.0,1.0
2566706,83701000,83701299,Кабардино-Балкарская Республика,31,32425.0,0.0,,Инженерные системы,390.1,"0,00000",0.0,1.0
2569262,83710000,83710263,Кабардино-Балкарская Республика,12,72470.76,0.0,,Инженерные системы,440.4,"0,00000",0.0,1.0
2567169,83701000,83702393,Кабардино-Балкарская Республика,12,6482265.3,0.0,,Инженерные системы,4240.1,"0,00000",0.0,1.0
2567622,83701000,83701531,Кабардино-Балкарская Республика,12,122556.5,0.0,,Инженерные системы,696.7,"0,00000",0.0,1.0
2568981,83710000,83710225,Кабардино-Балкарская Республика,31,5000.0,0.0,,Инженерные системы,173.9,"0,00000",0.0,1.0
2568654,83701000,83701935,Кабардино-Балкарская Республика,12,2522999.41,0.0,,Инженерные системы,2901.4,"0,00000",0.0,1.0
2568653,83701000,83701935,Кабардино-Балкарская Республика,31,620551.0,0.0,,Инженерные системы,2901.4,"0,00000",0.0,1.0
2568063,83701000,83702429,Кабардино-Балкарская Республика,31,1313172.0,0.0,,Инженерные системы,2787.2,"0,00000",0.0,1.0
2568062,83701000,83702429,Кабардино-Балкарская Республика,12,5915874.5,0.0,,Инженерные системы,2787.2,"0,00000",0.0,1.0
2567701,83701000,83701496,Кабардино-Балкарская Республика,31,12227.0,0.0,,Инженерные системы,147.1,"0,00000",0.0,1.0
2567699,83701000,83701496,Кабардино-Балкарская Республика,12,25876.36,0.0,,Инженерные системы,147.1,"0,00000",0.0,1.0
2567170,83701000,83702393,Кабардино-Балкарская Республика,31,1356613.0,0.0,,Инженерные системы,4240.1,"0,00000",0.0,1.0
2567693,83701000,83701494,Кабардино-Балкарская Республика,12,25876.36,0.0,,Инженерные системы,147.1,"0,00000",0.0,1.0
2567635,83701000,83701534,Кабардино-Балкарская Республика,12,128009.71,0.0,,Инженерные системы,728.1,"0,00000",0.0,1.0
2567633,83701000,83701534,Кабардино-Балкарская Республика,31,60486.0,0.0,,Инженерные системы,728.1,"0,00000",0.0,1.0
2567631,83701000,83701533,Кабардино-Балкарская Республика,31,59688.0,0.0,,Инженерные системы,718.1,"0,00000",0.0,1.0
2567628,83701000,83701533,Кабардино-Балкарская Республика,12,126320.97,0.0,,Инженерные системы,718.1,"0,00000",0.0,1.0
2567627,83701000,83701532,Кабардино-Балкарская Республика,31,53463.0,0.0,,Инженерные системы,687.9,"0,00000",0.0,1.0
2567624,83701000,83701532,Кабардино-Балкарская Республика,12,113145.31,0.0,,Инженерные системы,687.9,"0,00000",0.0,1.0
2567623,83701000,83701531,Кабардино-Балкарская Республика,31,57910.0,0.0,,Инженерные системы,696.7,"0,00000",0.0,1.0
2567692,83701000,83701494,Кабардино-Балкарская Республика,31,12227.0,0.0,,Инженерные системы,147.1,"0,00000",0.0,1.0
2572678,83630000,8363030,Кабардино-Балкарская Республика,12,650796.64,0.0,,Инженерные системы,3699.6,"0,00000",0.0,1.0
2563682,83610000,8361123,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,856.1,"0,00000",0.0,
2563683,83610000,8361123,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,856.1,"0,00000",0.0,
2563687,83610000,8361124,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,824.1,"0,00000",0.0,
2563688,83610000,8361124,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,824.1,"0,00000",0.0,
2563692,83610000,8361126,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,2020.0,"0,00000",0.0,
2563693,83610000,8361126,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,2020.0,"0,00000",0.0,
2563695,83610000,8361127,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,802.0,"0,00000",0.0,
2563696,83610000,8361127,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,802.0,"0,00000",0.0,
2563703,83610000,8361109,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1145.2,"0,00000",0.0,
2563705,83610000,8361109,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1145.2,"0,00000",0.0,
2563708,83610000,8361107,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1145.2,"0,00000",0.0,
2563710,83610000,8361107,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1145.2,"0,00000",0.0,
2563711,83610000,8361110,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1145.2,"0,00000",0.0,
2563712,83610000,8361110,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1145.2,"0,00000",0.0,
2563716,83610000,8361125,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1613.07,"0,00000",0.0,
2563717,83610000,8361125,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1613.07,"0,00000",0.0,
2563719,83610000,8361122,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1236.0,"0,00000",0.0,
2563720,83610000,8361122,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1236.0,"0,00000",0.0,
2563723,83610000,8361131,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,386.0,"0,00000",0.0,
2563725,83610000,8361131,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,386.0,"0,00000",0.0,
2563728,83610000,8361132,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,493.1,"0,00000",0.0,
2563732,83610000,8361132,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,493.1,"0,00000",0.0,
2563733,83610000,8361106,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,482.4,"0,00000",0.0,
2563734,83610000,8361106,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,482.4,"0,00000",0.0,
2563737,83610000,8361115,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,368.7,"0,00000",0.0,
2563739,83610000,8361115,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,368.7,"0,00000",0.0,
2563743,83610000,8361134,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,512.0,"0,00000",0.0,
2563745,83610000,8361134,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,512.0,"0,00000",0.0,
2563748,83610000,8361116,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,666.5,"0,00000",0.0,
2563749,83610000,8361116,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,666.5,"0,00000",0.0,
2563750,83610000,8361117,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,566.5,"0,00000",0.0,
2563751,83610000,8361117,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,566.5,"0,00000",0.0,
2563754,83610000,8361118,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,722.8,"0,00000",0.0,
2563756,83610000,8361118,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,722.8,"0,00000",0.0,
2563760,83610000,8361111,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,846.5,"0,00000",0.0,
2563761,83610000,8361111,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,846.5,"0,00000",0.0,
2563763,83610000,8361112,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,842.0,"0,00000",0.0,
2563765,83610000,8361112,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,842.0,"0,00000",0.0,
2563767,83610000,8361113,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1114.4,"0,00000",0.0,
2563768,83610000,8361113,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1114.4,"0,00000",0.0,
2563770,83610000,8361114,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,958.7,"0,00000",0.0,
2563771,83610000,8361114,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,958.7,"0,00000",0.0,
2563774,83610000,8361105,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1037.1,"0,00000",0.0,
2563776,83610000,8361105,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1037.1,"0,00000",0.0,
2563778,83610000,8361104,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1137.6,"0,00000",0.0,
2563781,83610000,8361104,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1137.6,"0,00000",0.0,
2563783,83610000,8361103,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,997.1,"0,00000",0.0,
2563784,83610000,8361103,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,997.1,"0,00000",0.0,
2563788,83610000,8361121,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1037.1,"0,00000",0.0,
2563789,83610000,8361121,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1037.1,"0,00000",0.0,
2563790,83610000,8361108,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1612.5,"0,00000",0.0,
2563792,83610000,8361108,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1612.5,"0,00000",0.0,
2563795,83610000,8361100,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,230.4,"0,00000",0.0,
2563796,83610000,8361100,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,230.4,"0,00000",0.0,
2563800,83610000,8361101,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,189.1,"0,00000",0.0,
2563801,83610000,8361101,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,189.1,"0,00000",0.0,
2563803,83610000,8361102,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,195.4,"0,00000",0.0,
2563805,83610000,8361102,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,195.4,"0,00000",0.0,
2563807,83703000,837100164,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,4875.1,"0,00000",0.0,
2563808,83703000,837100164,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,4875.1,"0,00000",0.0,
2563811,83703000,837100119,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,395.7,"0,00000",0.0,
2563812,83703000,837100119,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,395.7,"0,00000",0.0,
2563816,83703000,837100153,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,2142.1,"0,00000",0.0,
2563817,83703000,837100153,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,2142.1,"0,00000",0.0,
2563820,83703000,837100155,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1035.0,"0,00000",0.0,
2563821,83703000,837100155,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1035.0,"0,00000",0.0,
2563822,83703000,837100175,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,2923.7,"0,00000",0.0,
2563825,83703000,837100175,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,2923.7,"0,00000",0.0,
2563826,83703000,837100111,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,4807.4,"0,00000",0.0,
2563828,83703000,837100111,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,4807.4,"0,00000",0.0,
2563831,83703000,837100138,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,3042.0,"0,00000",0.0,
2563832,83703000,837100138,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,3042.0,"0,00000",0.0,
2563834,83703000,837100139,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,3261.9,"0,00000",0.0,
2563837,83703000,837100139,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,3261.9,"0,00000",0.0,
2563838,83703000,837100101,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,2876.3,"0,00000",0.0,
2563840,83703000,837100101,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,2876.3,"0,00000",0.0,
2563843,83703000,837100105,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,534.9,"0,00000",0.0,
2563844,83703000,837100105,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,534.9,"0,00000",0.0,
2563846,83703000,837100106,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,507.8,"0,00000",0.0,
2563847,83703000,837100106,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,507.8,"0,00000",0.0,
2563851,83703000,837100154,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1036.2,"0,00000",0.0,
2563853,83703000,837100154,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1036.2,"0,00000",0.0,
2563854,83703000,837100166,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1031.8,"0,00000",0.0,
2563856,83703000,837100166,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1031.8,"0,00000",0.0,
2563859,83703000,837100156,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,965.6,"0,00000",0.0,
2563860,83703000,837100156,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,965.6,"0,00000",0.0,
2563863,83703000,837100137,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,3168.2,"0,00000",0.0,
2563864,83703000,837100137,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,3168.2,"0,00000",0.0,
2563867,83703000,837100173,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1179.0,"0,00000",0.0,
2563868,83703000,837100173,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1179.0,"0,00000",0.0,
2563870,83703000,837100158,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1140.5,"0,00000",0.0,
2563872,83703000,837100158,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1140.5,"0,00000",0.0,
2563874,83703000,837100159,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,999.6,"0,00000",0.0,
2563876,83703000,837100159,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,999.6,"0,00000",0.0,
2563878,83703000,837100150,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,3164.9,"0,00000",0.0,
2563881,83703000,837100150,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,3164.9,"0,00000",0.0,
2563883,83703000,837100160,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,3225.8,"0,00000",0.0,
2563884,83703000,837100160,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,3225.8,"0,00000",0.0,
2563887,83703000,837100161,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1734.0,"0,00000",0.0,
2563889,83703000,837100161,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1734.0,"0,00000",0.0,
2563892,83703000,837100151,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1161.6,"0,00000",0.0,
2563893,83703000,837100151,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1161.6,"0,00000",0.0,
2563895,83703000,837100177,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,4954.6,"0,00000",0.0,
2563898,83703000,837100177,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,4954.6,"0,00000",0.0,
2563900,83703000,837100107,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,502.5,"0,00000",0.0,
2563901,83703000,837100107,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,502.5,"0,00000",0.0,
2563904,83703000,837100108,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,506.9,"0,00000",0.0,
2563905,83703000,837100108,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,506.9,"0,00000",0.0,
2563909,83703000,837100110,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,292.8,"0,00000",0.0,
2563910,83703000,837100110,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,292.8,"0,00000",0.0,
2563911,83703000,837100152,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,1157.2,"0,00000",0.0,
2563913,83703000,837100152,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,1157.2,"0,00000",0.0,
2563915,83703000,837100167,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,4542.6,"0,00000",0.0,
2563917,83703000,837100167,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,4542.6,"0,00000",0.0,
2563920,83703000,837100109,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,3905.0,"0,00000",0.0,
2563921,83703000,837100109,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,3905.0,"0,00000",0.0,
2563925,83703000,837100113,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,2068.0,"0,00000",0.0,
2563926,83703000,837100113,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,2068.0,"0,00000",0.0,
2563929,83703000,837100174,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,362.4,"0,00000",0.0,
2563930,83703000,837100174,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,362.4,"0,00000",0.0,
2563933,83703000,837100148,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,4990.7,"0,00000",0.0,
2563935,83703000,837100148,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,4990.7,"0,00000",0.0,
2563936,83703000,837100104,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,2709.56,"0,00000",0.0,
2563937,83703000,837100104,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,2709.56,"0,00000",0.0,
2563941,83703000,837100142,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,395.2,"0,00000",0.0,
2563943,83703000,837100142,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,395.2,"0,00000",0.0,
2563946,83703000,837100143,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,393.7,"0,00000",0.0,
2563947,83703000,837100143,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,393.7,"0,00000",0.0,
2563949,83703000,837100144,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,394.4,"0,00000",0.0,
2563951,83703000,837100144,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,394.4,"0,00000",0.0,
2563952,83703000,837100145,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,394.3,"0,00000",0.0,
2563953,83703000,837100145,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,394.3,"0,00000",0.0,
2563957,83703000,837100146,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,396.6,"0,00000",0.0,
2563958,83703000,837100146,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,396.6,"0,00000",0.0,
2563960,83703000,837100147,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,398.8,"0,00000",0.0,
2563962,83703000,837100147,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,398.8,"0,00000",0.0,
2563966,83703000,837100168,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,3456.5,"0,00000",0.0,
2563967,83703000,837100168,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,3456.5,"0,00000",0.0,
2563969,83703000,837100140,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,5084.9,"0,00000",0.0,
2563971,83703000,837100140,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,5084.9,"0,00000",0.0,
2563973,83703000,837100112,Кабардино-Балкарская Республика,12,0.0,0.0,,Инженерные системы,4249.1,"0,00000",0.0,
2563974,83703000,837100112,Кабардино-Балкарская Республика,31,0.0,0.0,,Инженерные системы,4249.1,"0,00000",0.0,
