,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1927904,71928000,2841760012,Ямало-Ненецкий автономный округ,10,632351.0,1619845.51,,Ремонт фасада,493.2,"160,00000",3284.358292781833,-1.5616240189388488
1909521,71955000,5500040062,Ямало-Ненецкий автономный округ,10,714089.0,1148298.15,16.09.2018,Ремонт фасада,656.5,"4497,05015",1749.121325209444,-0.6080602697983023
1926320,71920000,2040980407,Ямало-Ненецкий автономный округ,10,1029420.0,1430757.0,28.09.2016,Ремонт фасада,251.6,"1741,18957",5686.633545310016,-0.3898671096345515
1927350,71926000,2641840001,Ямало-Ненецкий автономный округ,10,2185770.0,2289560.0,23.09.2016,Ремонт фасада,834.7,"3119,53900",2742.9735234215887,-0.04748441052809765
1908516,71952000,5200000174,Ямало-Ненецкий автономный округ,10,2657796.0,2771705.67,24.11.2018,Ремонт фасада,3492.2,"3626,30952",793.684688734895,-0.04285869570125018
1919895,71951000,5100060096,Ямало-Ненецкий автономный округ,10,6922707.0,7118356.69,28.09.2018,Ремонт фасада,2862.9,"13298,09124",2486.414715847567,-0.02826202091176189
1925282,71920000,2010520122,Ямало-Ненецкий автономный округ,10,1327150.0,1327153.0,09.09.2016,Ремонт фасада,398.9,"576,08931",3327.0318375532715,-2.2604829898655015e-06
1926853,71920000,2041760722,Ямало-Ненецкий автономный округ,10,1568740.0,1568740.0,16.09.2016,Ремонт фасада,420.5,"3688,59570",3730.653983353151,0.0
1927296,71926000,2641200028,Ямало-Ненецкий автономный округ,10,2690670.0,2690670.0,20.09.2017,Ремонт фасада,2138.8,"3420,27400",1258.0278660931363,0.0
1908221,71952000,5200000037,Ямало-Ненецкий автономный округ,10,4628422.0,4628422.0,31.10.2015,Ремонт фасада,1027.6,"7492,22900",4504.108602569094,0.0
1908220,71952000,5200000036,Ямало-Ненецкий автономный округ,10,4628422.0,4628422.0,31.10.2015,Ремонт фасада,1027.1,"7492,22900",4506.301236491092,0.0
1909583,71955000,5500040058,Ямало-Ненецкий автономный округ,10,1078583.0,1078583.0,31.08.2017,Ремонт фасада,982.6,"3077,52682",1097.6826786077752,0.0
1911638,71956000,5600090310,Ямало-Ненецкий автономный округ,10,9417229.0,9417228.86,,Ремонт фасада,8785.3,"12889,41426",1071.930253946934,1.4866368928274596e-08
1916090,71956000,5600090361,Ямало-Ненецкий автономный округ,10,7956877.0,7956876.88,25.06.2018,Ремонт фасада,9637.0,"24061,10624",825.6591138321054,1.5081293843270257e-08
1913774,71956000,5600090047,Ямало-Ненецкий автономный округ,10,7821655.0,7821654.82,,Ремонт фасада,7041.3,"2528,82972",1110.8253901978328,2.3013032370000567e-08
1911042,71956000,5600090101,Ямало-Ненецкий автономный округ,10,6663319.0,6663318.82,,Ремонт фасада,4951.7,"3387,47610",1345.6628672980999,2.7013564816869306e-08
1911533,71956000,5600090305,Ямало-Ненецкий автономный округ,10,18470002.0,18470001.5,,Ремонт фасада,14594.0,"26788,31727",1265.58870083596,2.7070922894323455e-08
1913354,71956000,5600090024,Ямало-Ненецкий автономный округ,10,3136811.0,3136810.9,,Ремонт фасада,2075.1,"1045,59842",1511.6432461086213,3.1879510781214504e-08
1910955,71956000,5600090293,Ямало-Ненецкий автономный округ,10,7777058.0,7777057.73,,Ремонт фасада,4064.9,"2515,40361",1913.222399075008,3.471749851331508e-08
1914649,71956000,5600090171,Ямало-Ненецкий автономный округ,10,10661766.0,10661765.62,,Ремонт фасада,5541.2,"10040,71375",1924.0896592795784,3.564137506108874e-08
1917042,71958000,5800080379,Ямало-Ненецкий автономный округ,10,5524517.0,5524516.8,,Ремонт фасада,4907.2,"8592,80824",1125.7981741115095,3.6202259887382826e-08
1912334,71956000,5600090096,Ямало-Ненецкий автономный округ,10,6577925.0,6577924.66,,Ремонт фасада,5140.5,"3235,18141",1279.6274020036963,5.1688032297569275e-08
1909677,71955000,5500040163,Ямало-Ненецкий автономный округ,10,8035836.0,8035835.45,,Ремонт фасада,4938.6,"5592,49494",1627.1484732515287,6.844340773178242e-08
1911062,71956000,5600090401,Ямало-Ненецкий автономный округ,10,5961870.0,5961869.57,,Ремонт фасада,4970.4,"3194,43865",1199.4748048446806,7.212502112625347e-08
1915805,71956000,5600090222,Ямало-Ненецкий автономный округ,10,2833252.0,2833251.79,,Ремонт фасада,2110.5,"956,08312",1342.4552428334518,7.411977471920856e-08
1909645,71955000,5500040159,Ямало-Ненецкий автономный округ,10,4263588.0,4263587.56,,Ремонт фасада,4100.9,"4090,55743",1039.6711843741618,1.0319946495997783e-07
1914330,71956000,5600090075,Ямало-Ненецкий автономный округ,10,5843509.0,5843508.38,,Ремонт фасада,4931.9,"1916,14944",1184.8391857093616,1.0610063236178103e-07
1914363,71956000,5600090074,Ямало-Ненецкий автономный округ,10,6608326.0,6608325.26,,Ремонт фасада,6960.6,"2133,20377",949.3901761342412,1.1197994775432045e-07
1907951,71952000,5200000315,Ямало-Ненецкий автономный округ,10,2255011.0,2255010.74,,Ремонт фасада,2848.4,"2339,46802",791.6762884426345,1.1529877227937362e-07
1916121,71956000,5600090363,Ямало-Ненецкий автономный округ,10,6394429.0,6394428.26,27.09.2018,Ремонт фасада,6943.8,"17288,54257",920.8831273942221,1.1572573567139731e-07
1915829,71956000,5600090088,Ямало-Ненецкий автономный округ,10,3363950.0,3363949.58,,Ремонт фасада,2228.6,"1115,08462",1509.445203266625,1.248532231232611e-07
1925901,71920000,2040800727,Ямало-Ненецкий автономный округ,10,694855.0,694854.89,10.12.2018,Ремонт фасада,973.5,"4078,14855",713.76978941962,1.5830640923074622e-07
1913802,71956000,5600090187,Ямало-Ненецкий автономный округ,10,5379481.0,5379480.1,,Ремонт фасада,4928.5,"3023,08619",1091.504534848331,1.6730238481603132e-07
1914135,71956000,5600090055,Ямало-Ненецкий автономный округ,10,5189944.0,5189943.12,,Ремонт фасада,4644.1,"1719,81212",1117.5347473137958,1.6955866959031566e-07
1917019,71958000,5800080377,Ямало-Ненецкий автономный округ,10,5851879.0,5851878.0,,Ремонт фасада,5745.2,"9649,35384",1018.5681960593191,1.7088528317143947e-07
1910007,71955000,5500040150,Ямало-Ненецкий автономный округ,10,4601988.0,4601987.19,,Ремонт фасада,2456.5,"1512,35116",1873.391894972522,1.7601088911796773e-07
1914993,71956000,5600090122,Ямало-Ненецкий автономный округ,10,5521044.0,5521043.0,04.10.2018,Ремонт фасада,7419.0,"5738,35343",744.1761692950532,1.81125164008836e-07
1914659,71956000,5600090172,Ямало-Ненецкий автономный округ,10,4159201.0,4159200.24,,Ремонт фасада,1874.8,"4301,92306",2218.476765521656,1.8272740359902842e-07
1917133,71958000,5800080390,Ямало-Ненецкий автономный округ,10,5435269.0,5435268.0,,Ремонт фасада,4942.0,"8777,83780",1099.8114123836503,1.8398353420962238e-07
1915820,71956000,5600090090,Ямало-Ненецкий автономный округ,10,2704744.0,2704743.46,,Ремонт фасада,1012.9,"912,82773",2670.296633428769,1.9964920895924083e-07
1909387,71955000,5500040035,Ямало-Ненецкий автономный округ,10,1198893.0,1198892.76,,Ремонт фасада,979.9,"1010,27276",1223.4848045718952,2.0018467035063745e-07
1919648,71951000,5100060061,Ямало-Ненецкий автономный округ,10,3617161.0,3617160.14,,Ремонт фасада,1368.3,"2434,73132",2643.5431849740557,2.3775552149036628e-07
1914806,71956000,5600090183,Ямало-Ненецкий автономный округ,10,3144501.0,3144500.11,,Ремонт фасада,2155.1,"3181,41959",1459.0970767017773,2.8303377869187674e-07
1914796,71956000,5600090033,Ямало-Ненецкий автономный округ,10,2536370.0,2536369.25,,Ремонт фасада,1887.0,"2728,93671",1344.127848436672,2.956981828361004e-07
1926233,71920000,2040980394,Ямало-Ненецкий автономный округ,10,3377096.0,3377095.0,,Ремонт фасада,4349.4,"13507,68832",776.4507748195153,2.9611239952906286e-07
1914826,71956000,5600090185,Ямало-Ненецкий автономный округ,10,2572919.0,2572918.22,,Ремонт фасада,817.8,"1932,96184",3146.146025923209,3.031576197288407e-07
1907909,71952000,5200000310,Ямало-Ненецкий автономный округ,10,2228308.0,2228307.32,,Ремонт фасада,2825.3,"1683,27354",788.6975967153929,3.051642771859357e-07
1909938,71955000,5500040144,Ямало-Ненецкий автономный округ,10,2444499.0,2444498.15,,Ремонт фасада,2481.4,"2385,96032",985.1286169098089,3.477195122980751e-07
1908093,71952000,5200000004,Ямало-Ненецкий автономный округ,10,1608513.0,1608512.4,,Ремонт фасада,4278.9,"2297,99951",375.9172684568464,3.73015325392541e-07
1914814,71956000,5600090184,Ямало-Ненецкий автономный округ,10,2434203.0,2434202.06,,Ремонт фасада,958.2,"1215,79686",2540.3903777916926,3.8616335611455603e-07
1915078,71956000,5600090116,Ямало-Ненецкий автономный округ,10,2062950.0,2062949.16,04.10.2018,Ремонт фасада,1835.4,"2190,64058",1123.9779666557697,4.071838871925248e-07
1915640,71956000,5600090034,Ямало-Ненецкий автономный округ,10,2247123.0,2247122.02,,Ремонт фасада,594.2,"1440,52643",3781.760383709189,4.361131989576777e-07
1927206,71926000,2641200044,Ямало-Ненецкий автономный округ,10,164530.0,164529.56,31.08.2017,Ремонт фасада,691.0,"329,51866",238.1035600578871,2.674284325061255e-06
1927212,71926000,2641200045,Ямало-Ненецкий автономный округ,10,133201.0,133200.53,10.08.2018,Ремонт фасада,459.6,"357,82482",289.8183855526545,3.528502038281726e-06
1915136,71956000,5600090119,Ямало-Ненецкий автономный округ,10,7114420.0,7083393.68,04.10.2018,Ремонт фасада,8338.1,"17613,86816",849.5213154075868,0.004361047000317707
1914102,71956000,5600090066,Ямало-Ненецкий автономный округ,10,7178916.0,7143021.29,10.08.2018,Ремонт фасада,7102.0,"7400,86077",1005.7760194311462,0.005000018108583519
1913567,71956000,5600090027,Ямало-Ненецкий автономный округ,10,2954477.0,2939704.54,23.10.2018,Ремонт фасада,2885.1,"6022,84849",1018.9263942324357,0.005000025385203528
1913604,71956000,5600090275,Ямало-Ненецкий автономный округ,10,2954477.0,2939704.54,23.10.2018,Ремонт фасада,2786.1,"5614,91112",1055.132457557159,0.005000025385203528
1914787,71956000,5600090182,Ямало-Ненецкий автономный округ,10,10027822.0,9977682.61,16.08.2018,Ремонт фасада,9187.3,"10267,17331",1086.0299119436613,0.005000027922314596
1913810,71956000,5600090006,Ямало-Ненецкий автономный округ,10,4877968.0,4853577.95,26.09.2018,Ремонт фасада,4811.7,"8825,87275",1008.7033584803709,0.005000043050712882
